INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,Attribute,ID,SourceFile,Habitat
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175545_000.wav,5,08-12-24,0.747049000,17,08-12-24,0.247049000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,/FtvMjKlOq+1hSZNYaHVRw==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175620_000.wav,5,08-12-24,0.747454000,17,08-12-24,0.247454000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,cR2/mT/vfBoypdUvPvhHjA==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175750_000.wav,5,08-12-24,0.74849500,17,08-12-24,0.24849500,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,cW589NQByZ0Ysv+DGLeovA==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175800_000.wav,5,08-12-24,0.748611000,17,08-12-24,0.248611000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,05vQFf/KPgm2bRAmwJ53rw==,MANUAL ID.1,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175805_000.wav,5,08-12-24,0.748669000,17,08-12-24,0.248669000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,WyoKQyAwYgoUaKS0+Nf3wQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175805_000.wav,5,08-12-24,0.748669000,17,08-12-24,0.248669000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,WyoKQyAwYgoUaKS0+Nf3wQ==,MANUAL ID.2,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175810_000.wav,5,08-12-24,0.748727000,17,08-12-24,0.248727000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9WtKqAeS7dKY7nXv5f8H4A==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175810_000.wav,5,08-12-24,0.748727000,17,08-12-24,0.248727000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9WtKqAeS7dKY7nXv5f8H4A==,MANUAL ID.2,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175810_000.wav,5,08-12-24,0.748727000,17,08-12-24,0.248727000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9WtKqAeS7dKY7nXv5f8H4A==,MANUAL ID.3,VMI1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175815_000.wav,5,08-12-24,0.748785000,17,08-12-24,0.248785000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,IJyJqdh/cVQizpp1igce0g==,MANUAL ID.1,MO1.B,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175815_000.wav,5,08-12-24,0.748785000,17,08-12-24,0.248785000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,IJyJqdh/cVQizpp1igce0g==,MANUAL ID.2,MAFU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175815_000.wav,5,08-12-24,0.748785000,17,08-12-24,0.248785000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,IJyJqdh/cVQizpp1igce0g==,MANUAL ID.3,VMI1.B,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175910_000.wav,5,08-12-24,0.749421000,17,08-12-24,0.249421000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Lo8Jz2qHGS49UO+ER+XbPg==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175915_000.wav,5,08-12-24,0.749479000,17,08-12-24,0.249479000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,PyyHO4jlThDq0DH2w+jhqg==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175920_000.wav,5,08-12-24,0.749537000,17,08-12-24,0.249537000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,QFG1VTVAOMwzkhh09hFkjQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_175925_000.wav,5,08-12-24,0.749595000,17,08-12-24,0.249595000,5,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,UbeXa4yQo3pfNKQSKyvqoA==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
